state;mes;total_casos;total_mortes;letalidade;
MT;01/08/2020;2264054;71809;0;29
PA;01/08/2020;5517418;184703;0;23
PB;01/08/2020;2963271;66779;0;24
PE;01/08/2020;3462120;221621;0;24
PI;01/08/2020;2034160;49542;0;17
PR;01/08/2020;3250154;82709;0;32
RJ;01/08/2020;6044096;456563;0;33
RN;01/08/2020;1780027;64291;0;23
RO;01/08/2020;1481732;31305;0;64
RR;01/08/2020;1204495;17394;0;24
RS;01/08/2020;3015822;84205;0;25
SC;01/08/2020;3721115;54550;0;76
SE;01/08/2020;2084623;52244;0;36
SP;01/08/2020;21362587;830582;0;21
TO;01/08/2020;1168293;16144;0;14
AC;01/09/2020;795537;19220;0;28
AL;01/09/2020;2491576;59677;0;15
AM;01/09/2020;3876892;117611;0;25
AP;01/09/2020;1384546;20556;0;39
BA;01/09/2020;8599584;182333;0;14
CE;01/09/2020;6898515;261912;0;24
DF;01/09/2020;5364471;88539;0;24
ES;01/09/2020;3649051;101144;0;30
GO;01/09/2020;5156689;117808;0;15
MA;01/09/2020;4929664;108185;0;21
MG;01/09/2020;7731969;192147;0;38
MS;01/09/2020;1810934;33046;0;17
MT;01/09/2020;3248468;93717;0;28
PA;01/09/2020;6489909;191411;0;23
PB;01/09/2020;3427614;79627;0;22
PE;01/09/2020;4142847;237535;0;25
PI;01/09/2020;2626666;59599;0;18
PR;01/09/2020;4717003;117943;0;29
RJ;01/09/2020;7365687;519419;0;29
RN;01/09/2020;1976856;69839;0;23
RO;01/09/2020;1840082;37823;0;57
RR;01/09/2020;1414409;18414;0;23
RS;01/09/2020;4875057;124916;0;25
SC;01/09/2020;5998817;76993;0;71
SE;01/09/2020;2256456;58667;0;35
SP;01/09/2020;27207382;992445;0;21
TO;01/09/2020;1818101;24720;0;13
AC;01/10/2020;916250;21028;0;26
AL;01/10/2020;2767394;67065;0;13
AM;01/10/2020;4672995;133979;0;26
AP;01/10/2020;1552128;22651;0;36
BA;01/10/2020;10309589;224650;0;14
CE;01/10/2020;8108308;284729;0;23
DF;01/10/2020;6307011;108592;0;24
ES;01/10/2020;4445544;114796;0;29
GO;01/10/2020;7289291;164301;0;15
MA;01/10/2020;5592717;121270;0;22
MG;01/10/2020;10251139;256939;0;35
MS;01/10/2020;2369415;45532;0;17
MT;01/10/2020;4162173;112586;0;26
PA;01/10/2020;7478456;206733;0;23
PB;01/10/2020;3953848;92064;0;22
